zone_names,comments,streamed_ambience,dynamic_ambience,mix,reverb,filter,occlusion,context,,,,,,,,,,,,,
exterior,,ambient_oilrig_rig_ext1,exterior,exterior_mix,exterior,none,exterior_occlusion,,,,,,,,,,,,,,
exterior_rig,,ambient_oilrig_rig_ext1,exterior,exterior_rig_mix,exterior_rig,none,exterior_occlusion,,,,,,,,,,,,,,
exterior_rig_intro,,ambient_oilrig_rig_ext1,exterior,exterior_rig_intro_mix,exterior_rig_intro,none,exterior_occlusion,,,,,,,,,,,,,,
exterior_rig_top,,ambient_oilrig_rig_ext1,none,exterior_rig_top_mix,exterior_rig_top,none,exterior_occlusion,,,,,,,,,,,,,,
helicopter,,none,none,helicopter_mix,none,none,none,bullet_metal_vehicle,,,,,,,,,,,,,
interior_metal_open,,ambient_oilrig_int_medium_1,none,interior_metal_open_mix,interior_metal,interior_filter,interior_occlusion,wpn_int_med,,,,,,,,,,,,,
interior_metal_small,,ambient_oilrig_int_1,none,interior_metal_small_mix,interior_metal_small,interior_filter,interior_occlusion,wpn_int_sml,,,,,,,,,,,,,
interior_metal_med,,ambient_oilrig_int_medium_1,none,interior_metal_med_mix,interior_metal_med,interior_filter,interior_occlusion,wpn_int_med,,,,,,,,,,,,,
interior_metal_large1,,ambient_oilrig_int_metal_large_wet_1,interior,interior_metal_large1_mix,interior_metal_large,none,interior_occlusion,wpn_int_med,,,,,,,,,,,,,
interior_metal_large2,,ambient_oilrig_int_metal_large_1,interior,interior_metal_large2_mix,interior_metal_large,none,interior_occlusion,wpn_int_med,,,,,,,,,,,,,
interior_stone,,ambient_oilrig_int_1,none,interior_stone_mix,interior_stone,interior_filter,interior_occlusion,wpn_int_med,,,,,,,,,,,,,
interior_breach1,,ambient_oilrig_int_1,none,interior_breach1_mix,interior_stone,interior_filter,interior_occlusion,,,,,,,,,,,,,,
interior_breach2,,ambient_oilrig_int_1,none,interior_breach2_mix,interior_stone,interior_filter,interior_occlusion,,,,,,,,,,,,,,
interior_breach3,,ambient_oilrig_int_medium_1,none,interior_breach3_mix,interior_metal_med,interior_filter,interior_occlusion,wpn_int_med,,,,,,,,,,,,,
underwater,,amb_oilrig_underwater,none,underwater_mix,none,none,exterior_occlusion,,,,,,,,,,,,,,
underwater_silo,,amb_oilrig_inside_sub,none,underwater_silo_mix,none,none,interior_occlusion,wpn_int_med,,,,,,,,,,,,,
reverb_names,comments,roomtype,drylevel,wetlevel,fadetime,,,,,,,,,,,,,,,,
exterior,,oilrig_courtyard,1,0.8,0.5,,,,,,,,,,,,,,,,
exterior_rig,,oilrig_courtyard,1,0.8,0.5,,,,,,,,,,,,,,,,
exterior_rig_intro,,oilrig_courtyard,1,1,0.5,,,,,,,,,,,,,,,,
exterior_rig_top,,oilrig_courtyard,1,0.8,0.5,,,,,,,,,,,,,,,,
interior_metal_small,,oilrig_room_metal_small,1,1,0.5,,,,,,,,,,,,,,,,
interior_metal_med,,oilrig_room_metal,1,1,0.5,,,,,,,,,,,,,,,,
interior_metal_large,,oilrig_hangar,1,1,0.5,,,,,,,,,,,,,,,,
interior_stone,,oilrig_room_concrete,1,1,0.5,,,,,,,,,,,,,,,,
filter_names,dsp_bus_name,type,freq,gain,vol,q,,,,,,,,,,,,,,,
interior_filter,emitters_unoccluded,highshelf,1000,-8,-6,1,,,,,,,,,,,,,,,
slomo_breach_filter,all,lowpass,850,-6,0,1,,,,,,,,,,,,,,,
slomo_breach_filter,whizbys,lowpass,10000,0,0,1,,,,,,,,,,,,,,,
slomo_breach_filter,weapons_npc,lowpass,10000,0,0,1,,,,,,,,,,,,,,,
slomo_breach_filter,weapons_npc_dist,lowpass,10000,0,0,1,,,,,,,,,,,,,,,
slomo_breach_filter,weapons_plr,lowpass,10000,0,0,1,,,,,,,,,,,,,,,
slomo_breach_filter,notimescale,lowpass,20000,0,0,1,,,,,,,,,,,,,,,
slomo_breach_filter,interface,lowpass,20000,0,0,1,,,,,,,,,,,,,,,
slomo_breach_filter,voices_unfiltered,lowpass,20000,0,0,1,,,,,,,,,,,,,,,
underwater_oilrig,all,lowpass,300,-6,0,1,,,,,,,,,,,,,,,
underwater_oilrig,weapons_npc,lowpass,700,-6,0,1,,,,,,,,,,,,,,,
underwater_oilrig,weapons_npc_dist,lowpass,700,-6,0,1,,,,,,,,,,,,,,,
underwater_oilrig,weapons_plr,lowpass,700,-6,0,1,,,,,,,,,,,,,,,
underwater_oilrig,vehicles_land,lowpass,700,-6,0,1,,,,,,,,,,,,,,,
underwater_oilrig,voices,lowpass,800,-12,0,1,,,,,,,,,,,,,,,
underwater_oilrig,vehicles_air,lowpass,20000,0,0,1,Player Diveboat,,,,,,,,,,,,,,
underwater_oilrig,music,lowpass,20000,0,0,1,,,,,,,,,,,,,,,
underwater_oilrig,voices_unfiltered,lowpass,20000,0,0,1,,,,,,,,,,,,,,,
underwater_oilrig,unoccluded,lowpass,20000,0,0,1,,,,,,,,,,,,,,,
underwater_oilrig,voices_critical,lowpass,20000,0,0,1,,,,,,,,,,,,,,,
underwater_oilrig,interface,lowpass,20000,0,0,1,,,,,,,,,,,,,,,
underwater_oilrig,scripted4,lowpass,20000,0,0,1,"///door hatch, exit silo, underwater pipe & structure, plr_waterkill, submarine_driveby, sonar_ping",,,,,,,,,,,,,,
occlusion_names,dsp_bus_name,freq,type,gain,vol,q,,,,,,,,,,,,,,,
timescale_names,dsp_bus_name,scalefactor,,,,,,,,,,,,,,,,,,,
oilrig_timescale_factor,all,0.4,,,,,,,,,,,,,,,,,,,
oilrig_timescale_factor,notimescale,0,,,,,,,,,,,,,,,,,,,
oilrig_timescale_factor,whizbys,0.2,,,,,,,,,,,,,,,,,,,
oilrig_timescale_factor,weapons_npc,0.2,,,,,,,,,,,,,,,,,,,
oilrig_timescale_factor,weapons_plr,0.2,,,,,,,,,,,,,,,,,,,
oilrig_timescale_factor,voices,0.3,,,,,,,,,,,,,,,,,,,
oilrig_timescale_factor,voices_critical,0,,,,,,,,,,,,,,,,,,,
oilrig_timescale_factor,voices_unfiltered,0,,,,,,,,,,,,,,,,,,,
oilrig_timescale_factor,interface,0,,,,,,,,,,,,,,,,,,,
dynamic_ambience_names,comments,components,first_event_min,first_event_max,event_time_min,event_time_max,xxxx,,,,,,,,,,,,,,
exterior,,elm_industry + elm_metal_stress,,,,,,,,,,,,,,,,,,,
exterior_intro,,elm_industry + elm_metal_stress + elm_helicopter_flyover_med,,,,,,,,,,,,,,,,,,,
interior,,elm_industry + elm_pipe_stress_int,,,,,,,,,,,,,,,,,,,
components,comment,oneshots,loops,single_loops,first_event_min,first_event_max,event_time_min,event_time_max,dist_min,dist_max,cone_min,cone_max,travel_min,travel_max,travel_time_min,travel_time_max,pitch_min,pitch_max,pitch_time_min,pitch_time_max,xxxx
elm_industry,,elm_industry,,,2,8,8,12,30,450,,,,,,,,,,,
elm_metal_stress,,elm_metal_stress,,,2,8,10,20,30,450,,,,,,,,,,,
elm_pipe_stress_int,,elm_pipe_stress_int,,,2,8,10,20,30,450,,,,,,,,,,,
elm_helicopter_flyover_med,,elm_helicopter_flyover_med,,,2,10,10,20,400,1000,,,,,,,,,,,
loop_defs,comments,loop_alias,fade_in,fade_out,end_alias,duration_min,duration_max,xxxx,,,,,,,,,,,,,
whizby_preset_names,comments,near_radius,medium_radius,far_radius,radius_offset,near_spread,medium_spread,far_spread,near_prob,medium_prob,far_prob,,,,,,,,,,
mix_names,volmod,value,fadein,fadeout,,,,,,,,,,,,,,,,,
mix_oilrig_global,amb_damb,1.5,0.05,0.05,,,,,,,,,,,,,,,,,
mix_oilrig_global,amb_emitter,1,0.05,0.05,,,,,,,,,,,,,,,,,
mix_oilrig_global,amb_emitter_ext,1,0.05,0.05,,,,,,,,,,,,,,,,,
mix_oilrig_global,amb_emitter_int,1,0.05,0.05,,,,,,,,,,,,,,,,,
mix_oilrig_global,amb_quad,1,0.05,0.05,,,,,,,,,,,,,,,,,
mix_oilrig_global,attack_dog,1,0.05,0.05,,,,,,,,,,,,,,,,,
mix_oilrig_global,big_moment,1,0.05,0.05,,,,,,,,,,,,,,,,,
mix_oilrig_global,bullet_impact_geo,1,0.05,0.05,,,,,,,,,,,,,,,,,
mix_oilrig_global,bullet_impact_geo_metal,1.2,0.05,0.05,,,,,,,,,,,,,,,,,
mix_oilrig_global,bullet_whizby,1,0.05,0.05,,,,,,,,,,,,,,,,,
mix_oilrig_global,destruct,1,0.05,0.05,,,,,,,,,,,,,,,,,
mix_oilrig_global,explosion,1,0.05,0.05,,,,,,,,,,,,,,,,,
mix_oilrig_global,explosion_car,1,0.05,0.05,,,,,,,,,,,,,,,,,
mix_oilrig_global,explosion_critical,1,0.05,0.05,,,,,,,,,,,,,,,,,
mix_oilrig_global,explosion_debris,1,0.05,0.05,,,,,,,,,,,,,,,,,
mix_oilrig_global,explosion_flashbang,1,0.05,0.05,,,,,,,,,,,,,,,,,
mix_oilrig_global,explosion_grenade,1,0.05,0.05,,,,,,,,,,,,,,,,,
mix_oilrig_global,explosion_rocket,2.2,0.05,0.05,,,,,,,,,,,,,,,,,
mix_oilrig_global,music,0.75,0.05,0.05,,,,,,,,,,,,,,,,,
mix_oilrig_global,physics,1.5,0.05,0.05,,,,,,,,,,,,,,,,,
mix_oilrig_global,footstep_plr,1.1,0.05,0.05,,,,,,,,,,,,,,,,,
