zone_names,comments,streamed_ambience,dynamic_ambience,mix,reverb,filter,occlusion,context,,,,,,,,,,,,,
exterior0,,ambient_invasion_ext1,exterior,exterior0_mix,exterior,none,exterior_occlusion,,,,,,,,,,,,,,
exterior0_btr,,ambient_invasion_ext1,none,exterior0_btr_mix,exterior,none,exterior_occlusion,,,,,,,,,,,,,,
exterior1,,ambient_invasion_ext3,none,exterior1_mix,exterior,none,exterior_occlusion,,,,,,,,,,,,,,
interior,,ambient_invasion_ext3,none,interior_mix,interior,interior_filter,interior_occlusion,wpn_int_med,,,,,,,,,,,,,
alley,,ambient_invasion_ext3,none,alley_mix,alley,alley_filter,exterior_occlusion,wpn_int_semi_open,,,,,,,,,,,,,
interior_vehicle_open,,none,none,interior_vehicle_open_mix,interior_vehicle,interior_vehicle_filter,exterior_occlusion,interior_vehicle,,,,,,,,,,,,,
exterior_roof,,ambient_invasion_ext3,none,exterior_roof_mix,exterior_roof,none,exterior_occlusion,,,,,,,,,,,,,,
interior_small,,ambient_invasion_ext3,none,interior_small_mix,interior_small,interior_filter,interior_occlusion,wpn_int_sml,,,,,,,,,,,,,
interior_open,,ambient_invasion_ext1,none,interior_open_mix,interior_open,interior_filter,interior_occlusion,wpn_int_sml,,,,,,,,,,,,,
interior_plane,,ambient_invasion_ext3,none,interior_plane_mix,interior_plane,interior_filter,interior_occlusion,wpn_int_sml,,,,,,,,,,,,,
reverb_names,comments,roomtype,drylevel,wetlevel,fadetime,,,,,,,,,,,,,,,,
exterior,,invasion_exterior,1,0.2,2,,,,,,,,,,,,,,,,
exterior_roof,,invasion_exterior_roof,1,0.3,2,,,,,,,,,,,,,,,,
alley,,invasion_alley,1,1,1,,,,,,,,,,,,,,,,
interior,,invasion_interior,1,0.8,0.5,,,,,,,,,,,,,,,,
interior_vehicle,,invasion_interior_vehicle,1,0,0.5,,,,,,,,,,,,,,,,
interior_small,,invasion_interior_small,1,0.8,0.5,,,,,,,,,,,,,,,,
interior_open,,invasion_interior_open,1,0.8,0.5,,,,,,,,,,,,,,,,
interior_plane,,invasion_container_sml,1,0.8,0.5,,,,,,,,,,,,,,,,
filter_names,dsp_bus_name,type,freq,gain,vol,q,,,,,,,,,,,,,,,
interior_filter,scripted3,highshelf,2000,-6,0,1,heli engine + wpn,,,,,,,,,,,,,,
interior_filter,scripted4,highshelf,2000,-6,0,1,Distant aagun firing/explosions,,,,,,,,,,,,,,
interior_filter,emitters_ext,highshelf,2000,-10,0,1,,,,,,,,,,,,,,,
interior_filter,ambiance_quad,highshelf,2000,-20,0,1,,,,,,,,,,,,,,,
interior_filter,vehicles_land,highshelf,2000,-6,0,1,,,,,,,,,,,,,,,
interior_filter,vehicles_air,highshelf,2000,-6,0,1,,,,,,,,,,,,,,,
interior_filter,unoccluded,highshelf,2500,-6,0,1,,,,,,,,,,,,,,,
interior_vehicle_filter,weapons_npc,highshelf,1000,-3,0,1,npc gatling gun occlude,,,,,,,,,,,,,,
interior_vehicle_filter,unoccluded,lowshelf,5000,-3,0,1,,,,,,,,,,,,,,,
alley_filter,ambiance_quad,highshelf,3000,-6,0,1,,,,,,,,,,,,,,,
predator_missile_filter,ambiance_quad,highshelf,3000,-6,0,1,,,,,,,,,,,,,,,
occlusion_names,dsp_bus_name,freq,type,gain,vol,q,,,,,,,,,,,,,,,
timescale_names,dsp_bus_name,scalefactor,,,,,,,,,,,,,,,,,,,
dynamic_ambience_names,comments,components,first_event_min,first_event_max,event_time_min,event_time_max,xxxx,,,,,,,,,,,,,,
exterior,,elm_wind_leafy + elm_explosions_med + elm_explosions_dist + elm_helicopter_flyover_med + elm_jet_flyover_med + elm_jet_flyover_dist,,,,,,,,,,,,,,,,,,,
components,comment,oneshots,loops,single_loops,first_event_min,first_event_max,event_time_min,event_time_max,dist_min,dist_max,cone_min,cone_max,travel_min,travel_max,travel_time_min,travel_time_max,pitch_min,pitch_max,pitch_time_min,pitch_time_max,xxxx
elm_wind_leafy,,elm_wind_leafy,,,2,8,6,18,30,450,,,,,,,,,,,
elm_explosions_med,,elm_explosions_med,,,5,8,10,16,30,450,,,,,,,,,,,
elm_explosions_dist,,elm_explosions_dist,,,8,15,8,18,30,350,,,,,,,,,,,
elm_helicopter_flyover_med,,elm_helicopter_flyover_med,,,8,20,18,24,400,1000,,,,,,,,,,,
elm_jet_flyover_med,,elm_jet_flyover_med,,,14,20,15,25,400,1000,,,,,,,,,,,
elm_jet_flyover_dist,,elm_jet_flyover_dist,,,8,20,18,24,400,1000,,,,,,,,,,,
loop_defs,comments,loop_alias,fade_in,fade_out,end_alias,duration_min,duration_max,xxxx,,,,,,,,,,,,,
whizby_preset_names,comments,near_radius,medium_radius,far_radius,radius_offset,near_spread,medium_spread,far_spread,near_prob,medium_prob,far_prob,,,,,,,,,,
mix_names,volmod,value,fadein,fadeout,,,,,,,,,,,,,,,,,
mix_invasion_global,amb_damb,1,0.5,0.5,,,,,,,,,,,,,,,,,
mix_invasion_global,amb_emitter,1,0.5,0.5,,,,,,,,,,,,,,,,,
mix_invasion_global,amb_emitter_ext,1,0.5,0.5,,,,,,,,,,,,,,,,,
mix_invasion_global,amb_emitter_int,1,0.5,0.5,,,,,,,,,,,,,,,,,
mix_invasion_global,amb_quad,1,0.5,0.5,,,,,,,,,,,,,,,,,
mix_invasion_global,attack_dog,1,0.5,0.5,,,,,,,,,,,,,,,,,
mix_invasion_global,big_moment,2,0.5,0.5,,,,,,,,,,,,,,,,,
mix_invasion_global,bullet_impact_geo,0.95,0.5,0.5,,,,,,,,,,,,,,,,,
mix_invasion_global,bullet_impact_geo_metal,1.2,0.5,0.5,,,,,,,,,,,,,,,,,
mix_invasion_global,bullet_whizby,1,0.5,0.5,,,,,,,,,,,,,,,,,
mix_invasion_global,destruct,1,0.5,0.5,,,,,,,,,,,,,,,,,
mix_invasion_global,explosion,1,0.5,0.5,,,,,,,,,,,,,,,,,
mix_invasion_global,explosion_car,1.3,0.5,0.5,,,,,,,,,,,,,,,,,
mix_invasion_global,explosion_critical,1,0.5,0.5,,,,,,,,,,,,,,,,,
mix_invasion_global,explosion_debris,1,0.5,0.5,,,,,,,,,,,,,,,,,
mix_invasion_global,explosion_flashbang,1,0.5,0.5,,,,,,,,,,,,,,,,,
mix_invasion_global,explosion_grenade,1,0.5,0.5,,,,,,,,,,,,,,,,,
mix_invasion_global,explosion_rocket,1,0.5,0.5,,,,,,,,,,,,,,,,,
mix_invasion_global,music,1,0.5,0.5,,,,,,,,,,,,,,,,,
mix_invasion_global,physics,1,0.5,0.5,,,,,,,,,,,,,,,,,
mix_invasion_global,scripted1,3,0.5,0.5,scn_01: laatpv ride intro,,,,,,,,,,,,,,,,
mix_invasion_global,scripted2,1,0.5,0.5,scn_02: veh explo,,,,,,,,,,,,,,,,
mix_invasion_global,scripted3,1,0.5,0.5,,,,,,,,,,,,,,,,,
mix_invasion_global,scripted4,3,0.5,0.5,scn_04: helis,,,,,,,,,,,,,,,,
mix_invasion_global,scripted5,1,0.5,0.5,raptor fs layer,,,,,,,,,,,,,,,,
mix_invasion_global,scripted6,1,0.5,0.5,nate's rooftop wind,,,,,,,,,,,,,,,,
mix_invasion_global,scripted7,4,0.5,0.5,veh_mig29_passby,,,,,,,,,,,,,,,,
mix_invasion_global,scripted8,1.5,0.5,0.5,veh_jet_passenger_slow,,,,,,,,,,,,,,,,
mix_invasion_global,scripted9,1,0.5,0.5,Distant air raid sirens,,,,,,,,,,,,,,,,
mix_invasion_global,scripted10,1.5,0.5,0.5,Distant aagun firing/explosions,,,,,,,,,,,,,,,,
mix_invasion_global,scripted11,2.3,0.5,0.5,veh btr80 avm,,,,,,,,,,,,,,,,
mix_invasion_global,vehicle_aircraft,2,0.5,0.5,veh_havoc_heli,,,,,,,,,,,,,,,,
mix_invasion_global,vehicle_avm_npc,1,0.5,0.5,,,,,,,,,,,,,,,,,
mix_invasion_global,vehicle_avm_plr,1,0.5,0.5,,,,,,,,,,,,,,,,,
mix_invasion_global,vehicle_npc,1.5,0.5,0.5,,,,,,,,,,,,,,,,,
mix_invasion_global,vehicle_plr,1,0.5,0.5,,,,,,,,,,,,,,,,,
mix_invasion_global,voices_ally,1,0.5,0.5,,,,,,,,,,,,,,,,,
mix_invasion_global,voices_dialog,1,0.5,0.5,,,,,,,,,,,,,,,,,
mix_invasion_global,voices_dialog_radio,1,0.5,0.5,,,,,,,,,,,,,,,,,
mix_invasion_global,voices_enemy,1,0.5,0.5,,,,,,,,,,,,,,,,,
mix_invasion_global,wpn_projectile,2,0.5,0.5,,,,,,,,,,,,,,,,,
mix_invasion_global,wpn_vehicle_npc,1.5,0.5,0.5,,,,,,,,,,,,,,,,,
mix_invasion_global,wpn_vehicle_plr,1,0.5,0.5,,,,,,,,,,,,,,,,,
laatpv_ride_intro,set_all,1,0.5,0.5,,,,,,,,,,,,,,,,,
laatpv_ride_intro,music,1.43,0.5,0.5,,,,,,,,,,,,,,,,,
laatpv_ride_intro,voices_dialog,2,0.5,0.5,,,,,,,,,,,,,,,,,
laatpv_ride_intro,scripted8,0,0.5,0.5,veh_jet_passenger_slow,,,,,,,,,,,,,,,,
intro_btr_showing_up,scripted7,0.5,2,3,veh_mig29_passby,,,,,,,,,,,,,,,,
fade_in_intro_mix,set_all,0,0.05,2,,,,,,,,,,,,,,,,,
fade_in_intro_mix,music,1,0.05,2,,,,,,,,,,,,,,,,,
fade_in_intro_mix,big_moment,1,0.05,2,scn_player_intro_blackscreen,,,,,,,,,,,,,,,,
havoc_attacking_mix,amb_emitter,0.7,3,3,,,,,,,,,,,,,,,,,
havoc_attacking_mix,amb_emitter_ext,0.7,3,3,,,,,,,,,,,,,,,,,
havoc_attacking_mix,bullet_impact_geo,1,3,3,,,,,,,,,,,,,,,,,
havoc_attacking_mix,bullet_impact_geo_metal,1,3,3,,,,,,,,,,,,,,,,,
havoc_attacking_mix,bullet_whizby,1,3,3,,,,,,,,,,,,,,,,,
havoc_attacking_mix,h2_wpn_npc_shot_close,0.8,3,3,,,,,,,,,,,,,,,,,
havoc_attacking_mix,h2_wpn_npc_shot_far,0.8,3,3,,,,,,,,,,,,,,,,,
havoc_attacking_mix,h2_wpn_npc_shot_mid,0.8,3,3,,,,,,,,,,,,,,,,,
havoc_attacking_mix,h2_wpn_npc_shot_tail,0.8,3,3,,,,,,,,,,,,,,,,,
havoc_attacking_mix,scripted8,0,3,3,veh_jet_passenger_slow,,,,,,,,,,,,,,,,
havoc_attacking_mix,scripted9,0.7,3,3,Distant air raid sirens,,,,,,,,,,,,,,,,
havoc_attacking_mix,scripted10,0.7,3,3,Distant aagun firing/explosions,,,,,,,,,,,,,,,,
havoc_attacking_mix,wpn_vehicle_npc_h2,2,3,3,weap_havoc_turret,,,,,,,,,,,,,,,,
predator_missile_mix,amb_damb,0,1,1,,,,,,,,,,,,,,,,,
predator_missile_mix,amb_emitter,0,1,1,,,,,,,,,,,,,,,,,
predator_missile_mix,amb_emitter_ext,0,1,1,,,,,,,,,,,,,,,,,
predator_missile_mix,amb_emitter_int,0,1,1,,,,,,,,,,,,,,,,,
predator_missile_mix,amb_quad,0,1,1,,,,,,,,,,,,,,,,,
predator_missile_mix,voices_ally,0,1,1,,,,,,,,,,,,,,,,,
predator_missile_mix,voices_enemy,0,1,1,,,,,,,,,,,,,,,,,
predator_missile_mix,scripted8,1,1,1,veh_jet_passenger_slow,,,,,,,,,,,,,,,,
predator_missile_mix,scripted10,1.5,1,1,Distant aagun firing/explosions,,,,,,,,,,,,,,,,
ally_convoy_arrival_music,scripted8,0.7,4,2,veh_jet_passenger_slow,,,,,,,,,,,,,,,,
ally_convoy_arrival_music,scripted9,0.7,4,2,Distant air raid sirens,,,,,,,,,,,,,,,,
ally_convoy_arrival_music,scripted10,0.7,4,2,Distant aagun firing/explosions,,,,,,,,,,,,,,,,
interior_vehicle_open_mix,set_all,0,0.5,0.5,,,,,,,,,,,,,,,,,
interior_vehicle_open_mix,explosion_critical,0,0.5,0.5,scn_02: intro laatpv explode,,,,,,,,,,,,,,,,
interior_vehicle_open_mix,wpn_vehicle_npc,0.4,0.5,0.5,,,,,,,,,,,,,,,,,
interior_vehicle_open_mix,wpn_vehicle_npc_h2,0.8,0.5,0.5,btr80 wpn,,,,,,,,,,,,,,,,
interior_vehicle_open_mix,big_moment,1,0.5,0.5,,,,,,,,,,,,,,,,,
interior_vehicle_open_mix,scripted1,1,0.5,0.5,scn_01: laatpv ride intro,,,,,,,,,,,,,,,,
interior_vehicle_open_mix,scripted7,1,0.5,0.5,veh_mig29_passby,,,,,,,,,,,,,,,,
interior_vehicle_open_mix,voices_dialog,1,0.5,0.5,,,,,,,,,,,,,,,,,
interior_vehicle_open_mix,voices_dialog_radio,1,0.5,0.5,,,,,,,,,,,,,,,,,
interior_vehicle_open_mix,music,1.5,0.5,0.5,,,,,,,,,,,,,,,,,
exterior0_mix,amb_emitter,1,0.5,0.5,,,,,,,,,,,,,,,,,
exterior0_mix,amb_emitter_ext,1,0.5,0.5,,,,,,,,,,,,,,,,,
exterior0_mix,amb_emitter_int,0,0.5,0.5,,,,,,,,,,,,,,,,,
exterior0_mix,amb_quad,1,0.5,0.5,,,,,,,,,,,,,,,,,
exterior0_mix,music,0.6,0.5,0.5,,,,,,,,,,,,,,,,,
exterior0_mix,voices_ally,1,0.5,0.5,,,,,,,,,,,,,,,,,
exterior0_mix,voices_dialog,1.1,0.5,0.5,,,,,,,,,,,,,,,,,
exterior0_mix,voices_dialog_radio,1.1,0.5,0.5,,,,,,,,,,,,,,,,,
exterior0_mix,voices_enemy,1,0.5,0.5,,,,,,,,,,,,,,,,,
exterior0_btr_mix,amb_emitter,1,0.5,0.5,,,,,,,,,,,,,,,,,
exterior0_btr_mix,amb_emitter_ext,1,0.5,0.5,,,,,,,,,,,,,,,,,
exterior0_btr_mix,amb_emitter_int,0,0.5,0.5,,,,,,,,,,,,,,,,,
exterior0_btr_mix,amb_quad,1,0.5,0.5,,,,,,,,,,,,,,,,,
exterior0_btr_mix,scripted9,0.5,0.5,0.5,Distant air raid sirens,,,,,,,,,,,,,,,,
exterior0_btr_mix,music,0.6,0.5,0.5,,,,,,,,,,,,,,,,,
exterior1_mix,amb_emitter,1,0.5,0.5,,,,,,,,,,,,,,,,,
exterior1_mix,amb_emitter_ext,1,0.5,0.5,,,,,,,,,,,,,,,,,
exterior1_mix,amb_emitter_int,0,0.5,0.5,,,,,,,,,,,,,,,,,
exterior1_mix,amb_quad,1,0.5,0.5,,,,,,,,,,,,,,,,,
exterior1_mix,scripted6,0,0.5,0.5,rooftop wind,,,,,,,,,,,,,,,,
exterior1_mix,scripted9,0.7,0.5,0.5,Distant air raid sirens,,,,,,,,,,,,,,,,
exterior1_mix,voices_ally,1,0.5,0.5,,,,,,,,,,,,,,,,,
exterior1_mix,voices_dialog,1,0.5,0.5,,,,,,,,,,,,,,,,,
exterior1_mix,voices_dialog_radio,1,0.5,0.5,,,,,,,,,,,,,,,,,
exterior1_mix,voices_enemy,1,0.5,0.5,,,,,,,,,,,,,,,,,
exterior1_mix,scripted5,0,0.5,0.5,raptor fs layer,,,,,,,,,,,,,,,,
alley_mix,amb_emitter,1,0.5,0.5,,,,,,,,,,,,,,,,,
alley_mix,amb_emitter_ext,1,0.5,0.5,,,,,,,,,,,,,,,,,
alley_mix,amb_emitter_int,0,0.5,0.5,,,,,,,,,,,,,,,,,
alley_mix,amb_quad,1,0.5,0.5,,,,,,,,,,,,,,,,,
alley_mix,bullet_impact_geo_metal,1.5,1.5,1.5,,,,,,,,,,,,,,,,,
alley_mix,footstep_plr,1.5,1.5,1.5,,,,,,,,,,,,,,,,,
alley_mix,h2_wpn_npc_shot_close,1.5,1.5,1.5,,,,,,,,,,,,,,,,,
alley_mix,h2_wpn_npc_shot_far,0.8,1.5,1.5,,,,,,,,,,,,,,,,,
alley_mix,h2_wpn_npc_shot_mid,1.5,1.5,1.5,,,,,,,,,,,,,,,,,
alley_mix,h2_wpn_npc_shot_tail,2,1.5,1.5,,,,,,,,,,,,,,,,,
alley_mix,music,0.6,1.5,1.5,,,,,,,,,,,,,,,,,
alley_mix,scripted9,0.7,1.5,1.5,Distant air raid sirens,,,,,,,,,,,,,,,,
exterior_roof_mix,amb_damb,1,0.5,0.5,,,,,,,,,,,,,,,,,
exterior_roof_mix,amb_emitter,1,0.5,0.5,,,,,,,,,,,,,,,,,
exterior_roof_mix,amb_emitter_ext,1,0.5,0.5,,,,,,,,,,,,,,,,,
exterior_roof_mix,amb_emitter_int,0,0.5,0.5,,,,,,,,,,,,,,,,,
exterior_roof_mix,amb_quad,2,0.5,0.5,,,,,,,,,,,,,,,,,
exterior_roof_mix,scripted8,1,0.5,0.5,rooftop wind,,,,,,,,,,,,,,,,
exterior_roof_mix,voices_ally,1,0.5,0.5,,,,,,,,,,,,,,,,,
exterior_roof_mix,voices_dialog,1,0.5,0.5,,,,,,,,,,,,,,,,,
exterior_roof_mix,voices_dialog_radio,1,0.5,0.5,,,,,,,,,,,,,,,,,
exterior_roof_mix,voices_enemy,1,0.5,0.5,,,,,,,,,,,,,,,,,
interior_mix,amb_damb,0.5,0.5,0.5,,,,,,,,,,,,,,,,,
interior_mix,amb_emitter,1,0.5,0.5,,,,,,,,,,,,,,,,,
interior_mix,amb_emitter_ext,0.4,0.5,0.5,,,,,,,,,,,,,,,,,
interior_mix,amb_emitter_int,0,0.5,0.5,,,,,,,,,,,,,,,,,
interior_mix,amb_quad,0.4,0.5,0.5,,,,,,,,,,,,,,,,,
interior_mix,big_moment,0.8,0.5,0.5,,,,,,,,,,,,,,,,,
interior_mix,footstep_npc,0.5,0.5,0.5,,,,,,,,,,,,,,,,,
interior_mix,scripted6,0,0.5,0.5,nate's rooftop wind,,,,,,,,,,,,,,,,
interior_mix,scripted7,0.7,0.5,0.5,veh_mig29_passby,,,,,,,,,,,,,,,,
interior_mix,scripted8,0.3,0.5,0.5,veh_jet_passenger_slow,,,,,,,,,,,,,,,,
