zone_names,comments,streamed_ambience,dynamic_ambience,mix,reverb,filter,occlusion,context,,,,,,,,,,,,,
exterior,,ambient_favela_ext0,exterior_jet,exterior_mix,exterior,none,exterior_occlusion,,,,,,,,,,,,,,
exterior_edge,,ambient_favela_ext0,exterior_jet,exterior_edge_mix,exterior_edge,none,exterior_occlusion,,,,,,,,,,,,,,
exterior_roof,,ambient_favela_ext0,exterior_heli,exterior_roof_mix,exterior,none,exterior_occlusion,,,,,,,,,,,,,,
exterior_roof_alley,,ambient_favela_ext0,exterior_heli,exterior_roof_alley_mix,exterior_roof_alley,none,exterior_occlusion,,,,,,,,,,,,,,
exterior_roof_end,,ambient_favela_ext0,exterior_heli,exterior_roof_end_mix,exterior,none,exterior_occlusion,,,,,,,,,,,,,,
exterior_shanty_alley,,ambient_favela_ext0,exterior_jet,exterior_shanty_alley_mix,shanty_alley,none,exterior_occlusion,wpn_semi_open,,,,,,,,,,,,,
exterior_shanty_intro,,ambient_favela_ext0,exterior_jet,exterior_shanty_intro_mix,shanty_intro,none,exterior_occlusion,wpn_semi_open,,,,,,,,,,,,,
exterior_shanty_market,,ambient_favela_ext0,exterior_heli,exterior_shanty_market_mix,shanty,none,exterior_occlusion,wpn_semi_open,,,,,,,,,,,,,
exterior_shanty_street,,ambient_favela_ext0,exterior_jet,exterior_shanty_street_mix,shanty,none,exterior_occlusion,wpn_semi_open,,,,,,,,,,,,,
exterior_soccer_field,,ambient_favela_ext0,exterior_heli,exterior_soccer_field_mix,soccer_field,none,exterior_occlusion,wpn_semi_open,,,,,,,,,,,,,
forest,,ambient_favela_ext0,exterior_jet,forest_mix,exterior_forest,none,exterior_occlusion,,,,,,,,,,,,,,
interior_stone,,ambient_favela_int,none,interior_stone_mix,interior_stone,interior_stone_filter,interior_occlusion,wpn_int_sml,,,,,,,,,,,,,
interior_stone_semi_open,,ambient_favela_int,none,interior_stone_semi_open_mix,interior_stone_open,none,interior_occlusion,wpn_int_sml,,,,,,,,,,,,,
interior_stone_open,,ambient_favela_int,none,interior_stone_open_mix,interior_stone_open,none,interior_occlusion,wpn_int_sml,,,,,,,,,,,,,
interior_escape,,ambient_favela_int,none,interior_escape_mix,interior_stone,none,interior_occlusion,wpn_int_sml,,,,,,,,,,,,,
exterior_escape,,ambient_favela_ext0,none,exterior_escape_mix,exterior_escape,none,exterior_occlusion,,,,,,,,,,,,,,
reverb_names,comments,roomtype,drylevel,wetlevel,fadetime,,,,,,,,,,,,,,,,
exterior,,favela_escape_exterior,1,0.9,1,,,,,,,,,,,,,,,,
exterior_escape,,favela_escape_exterior,1,0.2,1,,,,,,,,,,,,,,,,
exterior_roof_alley,,favela_escape_shanty_alley,1,0.7,1,,,,,,,,,,,,,,,,
exterior_forest,,favela_escape_exterior,1,0.5,1,,,,,,,,,,,,,,,,
shanty,,favela_escape_shanty,1,0.9,1,,,,,,,,,,,,,,,,
shanty_alley,,favela_escape_shanty_alley,1,0.7,1,,,,,,,,,,,,,,,,
shanty_intro,,favela_escape_shanty,1,0.9,1,,,,,,,,,,,,,,,,
interior_stone_open,,favela_escape_interior_stone_open,1,0.7,0.5,,,,,,,,,,,,,,,,
interior_stone,,favela_escape_interior_stone,1,0.8,0.5,,,,,,,,,,,,,,,,
slowmo,,favela_escape_slowmo,1,1,1,,,,,,,,,,,,,,,,
exterior_edge,,favela_escape_exterior_edge,1,0.9,1,,,,,,,,,,,,,,,,
soccer_field,,favela_escape_exterior_soccer_field,1,0.9,1,,,,,,,,,,,,,,,,
filter_names,dsp_bus_name,type,freq,gain,vol,q,,,,,,,,,,,,,,,
interior_stone_filter,scripted2,highshelf,1000,-6,-3,1,,,,,,,,,,,,,,,
interior_stone_filter,music,highshelf,6000,-2,-2,1,,,,,,,,,,,,,,,
big_jump_slomo_filter,all,lowpass,500,-6,0,1,,,,,,,,,,,,,,,
big_jump_slomo_filter,scripted1,lowpass,20000,0,0,1,,,,,,,,,,,,,,,
big_jump_slomo_filter,voices_unfiltered,lowpass,20000,0,0,1,,,,,,,,,,,,,,,
big_jump_slomo_filter,notimescale,lowpass,20000,0,0,1,,,,,,,,,,,,,,,
big_jump_slomo_filter,interface,lowpass,20000,0,0,1,,,,,,,,,,,,,,,
big_jump_slomo_filter,voices,lowpass,1200,-4,0,1,,,,,,,,,,,,,,,
big_jump_slomo_filter,voices_critical,lowpass,1200,-4,0,1,,,,,,,,,,,,,,,
big_jump_slomo_filter,music,lowpass,10000,-2,0,1,,,,,,,,,,,,,,,
occlusion_names,dsp_bus_name,freq,type,gain,vol,q,,,,,,,,,,,,,,,
timescale_names,dsp_bus_name,scalefactor,,,,,,,,,,,,,,,,,,,
favela_escape_timescale_factor,all,0.4,,,,,,,,,,,,,,,,,,,
favela_escape_timescale_factor,notimescale,0,,,,,,,,,,,,,,,,,,,
favela_escape_timescale_factor,music,0,,,,,,,,,,,,,,,,,,,
favela_escape_timescale_factor,whizbys,0.2,,,,,,,,,,,,,,,,,,,
favela_escape_timescale_factor,weapons_npc,0.2,,,,,,,,,,,,,,,,,,,
favela_escape_timescale_factor,weapons_plr,0.2,,,,,,,,,,,,,,,,,,,
favela_escape_timescale_factor,voices,0.3,,,,,,,,,,,,,,,,,,,
favela_escape_timescale_factor,voices_critical,0,,,,,,,,,,,,,,,,,,,
favela_escape_timescale_factor,voices_unfiltered,0,,,,,,,,,,,,,,,,,,,
favela_escape_timescale_factor,interface,0,,,,,,,,,,,,,,,,,,,
dynamic_ambience_names,comments,components,first_event_min,first_event_max,event_time_min,event_time_max,xxxx,,,,,,,,,,,,,,
exterior_jet,,elm_insect_fly + elm_jet_flyover_dist,,,,,,,,,,,,,,,,,,,
exterior_jet,,elm_insect_fly + elm_helicopter_flyover_med,,,,,,,,,,,,,,,,,,,
components,comment,oneshots,loops,single_loops,first_event_min,first_event_max,event_time_min,event_time_max,dist_min,dist_max,cone_min,cone_max,travel_min,travel_max,travel_time_min,travel_time_max,pitch_min,pitch_max,pitch_time_min,pitch_time_max,xxxx
elm_insect_fly,,elm_insect_fly,,,8,15,8,18,30,350,,,,,,,,,,,
