zone_names,comments,streamed_ambience,dynamic_ambience,mix,reverb,filter,occlusion,context,,,,,,,,,,,,,
exterior,,ambient_arcadia_ext1,exterior,exterior_mix,exterior,none,exterior_occlusion,,,,,,,,,,,,,,
exterior2,,ambient_arcadia_ext1,exterior2,exterior2_mix,exterior,none,exterior_occlusion,,,,,,,,,,,,,,
interior_stone,,ambient_arcadia_int,none,interior_stone_mix,interior_stone,interior_filter,interior_occlusion,wpn_int_med,,,,,,,,,,,,,
interior_stone_open,,ambient_arcadia_ext1,exterior,interior_stone_open_mix,interior_stone_open,garage_open_filter,interior_occlusion,wpn_int_med,,,,,,,,,,,,,
interior_garage_open,,ambient_arcadia_ext1,exterior,interior_garage_open_mix,interior_garage_open,garage_open_filter,interior_occlusion,wpn_int_sml,,,,,,,,,,,,,
interior_wood_small,,ambient_arcadia_int,none,interior_wood_small_mix,interior_wood_small,interior_filter,interior_occlusion,wpn_int_sml,,,,,,,,,,,,,
interior_wood_medium,,ambient_arcadia_int,none,interior_wood_medium_mix,interior_wood_medium,interior_filter,interior_occlusion,wpn_int_med,,,,,,,,,,,,,
interior_wood_large,,ambient_arcadia_int,none,interior_wood_large_mix,interior_wood_large,interior_filter,interior_occlusion,wpn_int_med,,,,,,,,,,,,,
covered_bridge,,ambient_arcadia_ext1,exterior,covered_bridge_mix,covered_bridge,none,exterior_occlusion,wpn_int_med,,,,,,,,,,,,,
interior_arch,,ambient_arcadia_ext1,exterior,interior_arch_mix,interior_arch,none,interior_occlusion,wpn_int_med,,,,,,,,,,,,,
interior_plane,,ambient_arcadia_ext1,exterior2,interior_plane_mix,interior_plane,interior_filter,interior_occlusion,wpn_int_med,,,,,,,,,,,,,
interior_bunker,,ambient_arcadia_int,none,interior_bunker_mix,interior_stone,interior,interior_occlusion,wpn_int_sml,,,,,,,,,,,,,
reverb_names,comments,roomtype,drylevel,wetlevel,fadetime,,,,,,,,,,,,,,,,
exterior,,arcadia_exterior,1,0.1,0.5,,,,,,,,,,,,,,,,
interior_stone,,arcadia_interior_stone,1,1,0.5,,,,,,,,,,,,,,,,
interior_stone_open,,arcadia_interior_stone_open,1,1,0.5,,,,,,,,,,,,,,,,
interior_wood_small,,arcadia_interior_wood_small,1,0.5,0.5,,,,,,,,,,,,,,,,
interior_wood_medium,,arcadia_interior_wood_medium,1,0.8,0.5,,,,,,,,,,,,,,,,
interior_wood_large,,arcadia_interior_wood_large,1,1,0.5,,,,,,,,,,,,,,,,
interior_arch,,arcadia_interior_arch,1,1,0.5,,,,,,,,,,,,,,,,
interior_garage_open,,arcadia_interior_stone_open,1,1,0.5,,,,,,,,,,,,,,,,
covered_bridge,,arcadia_covered_bridge,1,1,0.5,,,,,,,,,,,,,,,,
interior_plane,,arcadia_interior_plane,1,1,0.5,,,,,,,,,,,,,,,,
filter_names,dsp_bus_name,type,freq,gain,vol,q,,,,,,,,,,,,,,,
garage_open_filter,ambiance_quad,highshelf,1500,-10,0,1,,,,,,,,,,,,,,,
garage_open_filter,emitters_ext,highshelf,1000,-10,0,1,,,,,,,,,,,,,,,
interior_filter,emitters_ext,highshelf,1000,-18,0,1,,,,,,,,,,,,,,,
interior_filter,vehicles_land,highshelf,8000,-6,0,1,,,,,,,,,,,,,,,
interior_filter,vehicles_air,highshelf,8000,-6,-3,1,,,,,,,,,,,,,,,
interior_filter,unoccluded,highshelf,2000,-6,-5,1,,,,,,,,,,,,,,,
occlusion_names,dsp_bus_name,freq,type,gain,vol,q,,,,,,,,,,,,,,,
timescale_names,dsp_bus_name,scalefactor,,,,,,,,,,,,,,,,,,,
dynamic_ambience_names,comments,components,first_event_min,first_event_max,event_time_min,event_time_max,xxxx,,,,,,,,,,,,,,
exterior,,elm_wind_leafy + elm_arcadia_dog_distant + elm_helicopter_flyover_med,,,,,,,,,,,,,,,,,,,
exterior2,,elm_wind_leafy,,,,,,,,,,,,,,,,,,,
components,comment,oneshots,loops,single_loops,first_event_min,first_event_max,event_time_min,event_time_max,dist_min,dist_max,cone_min,cone_max,travel_min,travel_max,travel_time_min,travel_time_max,pitch_min,pitch_max,pitch_time_min,pitch_time_max,xxxx
elm_wind_leafy,,elm_wind_leafy,,,2,8,12,18,30,450,,,,,,,,,,,
elm_arcadia_dog_distant,,elm_arcadia_dog_distant,,,4,12,15,20,35,450,,,,,,,,,,,
elm_helicopter_flyover_med,,elm_helicopter_flyover_med,,,8,12,20,29,30,450,,,,,,,,,,,
loop_defs,comments,loop_alias,fade_in,fade_out,end_alias,duration_min,duration_max,xxxx,,,,,,,,,,,,,
whizby_preset_names,comments,near_radius,medium_radius,far_radius,radius_offset,near_spread,medium_spread,far_spread,near_prob,medium_prob,far_prob,,,,,,,,,,
mix_names,volmod,value,fadein,fadeout,,,,,,,,,,,,,,,,,
mix_arcadia_global,amb_damb,1,0,0,,,,,,,,,,,,,,,,,
mix_arcadia_global,amb_emitter,1,0,0,,,,,,,,,,,,,,,,,
mix_arcadia_global,amb_emitter_ext,1,0,0,,,,,,,,,,,,,,,,,
mix_arcadia_global,amb_emitter_int,1,0,0,,,,,,,,,,,,,,,,,
mix_arcadia_global,amb_quad,1,0,0,,,,,,,,,,,,,,,,,
mix_arcadia_global,attack_dog,1,0,0,,,,,,,,,,,,,,,,,
mix_arcadia_global,big_moment,1,0,0,,,,,,,,,,,,,,,,,
mix_arcadia_global,bullet_impact_geo,0.95,0,0,,,,,,,,,,,,,,,,,
mix_arcadia_global,bullet_impact_geo_metal,1.2,0,0,,,,,,,,,,,,,,,,,
mix_arcadia_global,bullet_whizby,1,0,0,,,,,,,,,,,,,,,,,
mix_arcadia_global,destruct,1,0,0,,,,,,,,,,,,,,,,,
mix_arcadia_global,explosion,1,0,0,,,,,,,,,,,,,,,,,
mix_arcadia_global,explosion_car,1,0,0,,,,,,,,,,,,,,,,,
mix_arcadia_global,explosion_critical,1.3,0,0,,,,,,,,,,,,,,,,,
mix_arcadia_global,explosion_debris,1,0,0,,,,,,,,,,,,,,,,,
mix_arcadia_global,explosion_flashbang,1,0,0,,,,,,,,,,,,,,,,,
mix_arcadia_global,explosion_grenade,1.3,0,0,,,,,,,,,,,,,,,,,
mix_arcadia_global,explosion_rocket,1.3,0,0,,,,,,,,,,,,,,,,,
mix_arcadia_global,music,1,0,0,,,,,,,,,,,,,,,,,
mix_arcadia_global,physics,1,0,0,,,,,,,,,,,,,,,,,
mix_arcadia_global,scripted1,3,0,0,scn_01: npc car passby,,,,,,,,,,,,,,,,
mix_arcadia_global,scripted2,3,0,0,scn_02: mi17 reinforcemen drop,,,,,,,,,,,,,,,,
mix_arcadia_global,scripted3,3,0,0,scn_03: ac130 crash,,,,,,,,,,,,,,,,
mix_arcadia_global,scripted4,3,0,0,scn_04_mi17_takedown,,,,,,,,,,,,,,,,
mix_arcadia_global,scripted5,3,0,0,scn_06_harrier,,,,,,,,,,,,,,,,
mix_arcadia_global,scripted6,1,0,0,,,,,,,,,,,,,,,,,
