zone_names,comments,streamed_ambience,dynamic_ambience,mix,reverb,filter,occlusion,context,,,,,,,,,,,,,
elevator,,none,none,elevator_mix,elevator,none,interior_occlusion,wpn_int_sml,,,,,,,,,,,,,
terminal,,ambient_airport_terminal0,chimes,terminal_mix,terminal,none,interior_only_occlusion,wpn_int_med,,,,,,,,,,,,,
interior_stone,,ambient_airport_int0,none,interior_stone_mix,interior_stone,none,interior_only_occlusion,wpn_int_sml,,,,,,,,,,,,,
interior_stone_open,,ambient_airport_int0,exterior,interior_stone_open_mix,interior_stone_open,none,interior_only_occlusion,wpn_int_med,,,,,,,,,,,,,
exterior,,ambient_airport_ext0,exterior,exterior_mix,exterior,none,exterior_occlusion,,,,,,,,,,,,,,
interior_vehicle_open,,ambient_airport_int0,exterior,interior_vehicle_open_mix,interior_vehicle,veh_int_open_filter,interior_occlusion,wpn_int_sml,,,,,,,,,,,,,
basement,,ambient_airport_int0,basement,basement_mix,basement,none,interior_occlusion,wpn_int_sml,,,,,,,,,,,,,
garage,,ambient_airport_int0,none,garage_mix,garage,none,interior_occlusion,wpn_int_med,,,,,,,,,,,,,
store,,ambient_airport_terminal0,none,store_mix,store,none,interior_only_occlusion,wpn_int_med,,,,,,,,,,,,,
book_store,,ambient_airport_terminal0,none,store_mix,store,none,interior_only_occlusion,wpn_int_med,,,,,,,,,,,,,
restaurant,,ambient_airport_terminal0,none,store_mix,store,none,interior_only_occlusion,wpn_int_med,,,,,,,,,,,,,
interior_bus,,ambient_airport_ext0,exterior,interior_bus_mix,interior_vehicle,veh_int_open_filter,interior_occlusion,wpn_int_sml,,,,,,,,,,,,,
reverb_names,comments,roomtype,drylevel,wetlevel,fadetime,,,,,,,,,,,,,,,,
elevator,,airport_elevator,1,1,0.5,,,,,,,,,,,,,,,,
terminal,,airport_terminal,1,1,0.5,,,,,,,,,,,,,,,,
interior_stone,,airport_interior_stone,1,1,0.5,,,,,,,,,,,,,,,,
interior_stone_open,,airport_interior_stone_open,1,1,0.5,,,,,,,,,,,,,,,,
exterior,,airport_exterior,1,0.2,0.5,,,,,,,,,,,,,,,,
interior_vehicle,,airport_interior_vehicle,1,1,0.5,,,,,,,,,,,,,,,,
basement,,aiport_basement,1,1,0.5,,,,,,,,,,,,,,,,
garage,,airport_garage,1,1,0.5,,,,,,,,,,,,,,,,
store,,airport_store,1,1,0.5,,,,,,,,,,,,,,,,
filter_names,dsp_bus_name,type,freq,gain,vol,q,,,,,,,,,,,,,,,
veh_int_open_filter,set_all,highshelf,7000,-10,-6,1,,,,,,,,,,,,,,,
veh_int_open_filter,unoccluded,highshelf,20000,0,0,1,,,,,,,,,,,,,,,
veh_int_open_filter,music,highshelf,20000,0,0,1,,,,,,,,,,,,,,,
veh_int_open_filter,interface,highshelf,20000,0,0,1,,,,,,,,,,,,,,,
veh_int_open_filter,foley,highshelf,20000,0,0,1,,,,,,,,,,,,,,,
veh_int_open_filter,weapon_plr,highshelf,20000,0,0,1,,,,,,,,,,,,,,,
veh_int_open_filter,voices_unfiltered,highshelf,20000,0,0,1,,,,,,,,,,,,,,,
occlusion_names,dsp_bus_name,freq,type,gain,vol,q,,,,,,,,,,,,,,,
timescale_names,dsp_bus_name,scalefactor,,,,,,,,,,,,,,,,,,,
dynamic_ambience_names,comments,components,first_event_min,first_event_max,event_time_min,event_time_max,xxxx,,,,,,,,,,,,,,
exterior,,elm_windgust1 + elm_jet_flyover_int_med,,,,,,,,,,,,,,,,,,,
terminal,,elm_airport_jet_interior,,,,,,,,,,,,,,,,,,,
basement,,elm_industry,,,,,,,,,,,,,,,,,,,
chimes,,emt_airport_chime,,,,,,,,,,,,,,,,,,,
components,comment,oneshots,loops,single_loops,first_event_min,first_event_max,event_time_min,event_time_max,dist_min,dist_max,cone_min,cone_max,travel_min,travel_max,travel_time_min,travel_time_max,pitch_min,pitch_max,pitch_time_min,pitch_time_max,xxxx
elm_windgust1,,elm_windgust1,,,2,8,6,18,30,450,,,,,,,,,,,
elm_industry,,elm_industry,,,2,8,6,18,30,450,,,,,,,,,,,
elm_jet_flyover_int_med,,elm_jet_flyover_int_med,,,2,8,6,18,30,450,,,,,,,,,,,
elm_airport_jet_interior,,elm_airport_jet_interior,,,2,8,5,10,30,450,,,,,,,,,,,
emt_airport_chime,,emt_airport_chime,,,30,120,30,120,1,200,,,,,,,,,,,
loop_defs,comments,loop_alias,fade_in,fade_out,end_alias,duration_min,duration_max,xxxx,,,,,,,,,,,,,
whizby_preset_names,comments,near_radius,medium_radius,far_radius,radius_offset,near_spread,medium_spread,far_spread,near_prob,medium_prob,far_prob,,,,,,,,,,
mix_names,volmod,value,fadein,fadeout,,,,,,,,,,,,,,,,,
