zone_names,comments,streamed_ambience,dynamic_ambience,mix,reverb,filter,occlusion,context,,,,,,,,,,,,,
exterior,,ambient_contingency_ext0,none,exterior_mix,exterior,none,exterior_occlusion,,,,,,,,,,,,,,
exterior_forest,,amb_contigency_forest_front,none,forest_mix,forest,none,exterior_occlusion,,,,,,,,,,,,,,
interior_stone_open,,ambient_contingency_ext0,none,interior_stone_open_mix,interior_stone,none,interior_occlusion,wpn_semi_open,,,,,,,,,,,,,
interior_stone,,ambient_contingency_int0,none,interior_stone_mix,interior_stone_open,none,interior_occlusion,wpn_int_med,,,,,,,,,,,,,
exterior_forest_stealth,,amb_contigency_forest_front,none,forest_stealth_mix,forest_stealth,none,exterior_occlusion,,,,,,,,,,,,,,
reverb_names,comments,roomtype,drylevel,wetlevel,fadetime,,,,,,,,,,,,,,,,
exterior,,contingency_exterior,1,0.2,0.5,,,,,,,,,,,,,,,,
forest,,contingency_forest,1,0.2,0.5,,,,,,,,,,,,,,,,
interior_stone,,contingency_interior_stone,1,0.8,0.5,,,,,,,,,,,,,,,,
interior_stone_open,,contingency_interior_stone,1,0.6,0.5,,,,,,,,,,,,,,,,
forest_stealth,,contingency_forest_stealth,1,0.1,0.5,,,,,,,,,,,,,,,,
filter_names,dsp_bus_name,type,freq,gain,vol,q,,,,,,,,,,,,,,,
predator_missile_filter,ambiance_quad,highshelf,3000,-6,-2,1,,,,,,,,,,,,,,,
occlusion_names,dsp_bus_name,freq,type,gain,vol,q,,,,,,,,,,,,,,,
timescale_names,dsp_bus_name,scalefactor,,,,,,,,,,,,,,,,,,,
dynamic_ambience_names,comments,components,first_event_min,first_event_max,event_time_min,event_time_max,xxxx,,,,,,,,,,,,,,
components,comment,oneshots,loops,single_loops,first_event_min,first_event_max,event_time_min,event_time_max,dist_min,dist_max,cone_min,cone_max,travel_min,travel_max,travel_time_min,travel_time_max,pitch_min,pitch_max,pitch_time_min,pitch_time_max,xxxx
loop_defs,comments,loop_alias,fade_in,fade_out,end_alias,duration_min,duration_max,xxxx,,,,,,,,,,,,,
whizby_preset_names,comments,near_radius,medium_radius,far_radius,radius_offset,near_spread,medium_spread,far_spread,near_prob,medium_prob,far_prob,,,,,,,,,,
mix_names,volmod,value,fadein,fadeout,,,,,,,,,,,,,,,,,
mix_contingency_global,amb_damb,1,0.05,0.05,# ambient element sfx,,,,,,,,,,,,,,,,
mix_contingency_global,amb_emitter,1,0.05,0.05,# point emitter sfx,,,,,,,,,,,,,,,,
mix_contingency_global,amb_emitter_ext,1,0.05,0.05,# Used to turn on/off interior and exterior emitters.,,,,,,,,,,,,,,,,
mix_contingency_global,amb_emitter_int,1,0.05,0.05,# Used to turn on/off interior and exterior emitters.,,,,,,,,,,,,,,,,
mix_contingency_global,amb_quad,1,0.05,0.05,# main ambience streams,,,,,,,,,,,,,,,,
mix_contingency_global,attack_dog,1,0.05,0.05,# Doberman attack dog.,,,,,,,,,,,,,,,,
mix_contingency_global,big_moment,1,0.05,0.05,# big moment game scenes,,,,,,,,,,,,,,,,
mix_contingency_global,bullet_impact_geo,2,0.05,0.05,# bullet impact sfx on geo,,,,,,,,,,,,,,,,
mix_contingency_global,bullet_whizby,1,0.05,0.05,# bullet whizbys,,,,,,,,,,,,,,,,
mix_contingency_global,destruct,1,0.05,0.05,# destructible objects,,,,,,,,,,,,,,,,
mix_contingency_global,explosion,1,0.05,0.05,# explosion type sfx other than special moments,,,,,,,,,,,,,,,,
mix_contingency_global,explosion_car,1,0.05,0.05,# explosion type sfx other than special moments,,,,,,,,,,,,,,,,
mix_contingency_global,explosion_critical,1.5,0.05,0.05,# critical explosion type sfx (explosion system),,,,,,,,,,,,,,,,
mix_contingency_global,explosion_debris,1,0.05,0.05,# debris sfx for explosions (explosion system),,,,,,,,,,,,,,,,
mix_contingency_global,explosion_flashbang,1,0.05,0.05,# explosion sfx for flashbangs,,,,,,,,,,,,,,,,
mix_contingency_global,explosion_grenade,1,0.05,0.05,# explosion sfx for grenades,,,,,,,,,,,,,,,,
mix_contingency_global,explosion_rocket,1.5,0.05,0.05,# explosion sfx for rockets,,,,,,,,,,,,,,,,
mix_contingency_global,music,1,0.05,0.05,# Level music (excluding title and fluff music).,,,,,,,,,,,,,,,,
mix_contingency_global,physics,1,0.05,0.05,# physics elements,,,,,,,,,,,,,,,,
mix_contingency_global,scripted1,3,0.05,0.05,,,,,,,,,,,,,,,,,
mix_contingency_global,scripted10,1,0.05,0.05,,,,,,,,,,,,,,,,,
mix_contingency_global,scripted2,3,0.05,0.05,scn_cargo_heli / jeep_brake / jeep_wheel,,,,,,,,,,,,,,,,
mix_contingency_global,scripted3,2.8,0.05,0.05,scn_cont_btr_slider_arrival,,,,,,,,,,,,,,,,
mix_contingency_global,scripted4,1.5,0.05,0.05,scn_dog_bark_dist_aust_shepherd,,,,,,,,,,,,,,,,
mix_contingency_global,scripted5,1,0.05,0.05,,,,,,,,,,,,,,,,,
mix_contingency_global,scripted6,1,0.05,0.05,scn_con_base_doors_close,,,,,,,,,,,,,,,,
mix_contingency_global,scripted7,1,0.05,0.05,missile_hatch_slams_open,,,,,,,,,,,,,,,,
mix_contingency_global,scripted8,3,0.05,0.05,scn_con_icbm_ignition / scn_con_icbm_rocket_loop,,,,,,,,,,,,,,,,
mix_contingency_global,scripted9,1,0.05,0.05,,,,,,,,,,,,,,,,,
mix_contingency_global,vehicle_aircraft,1,0.05,0.05,# npc air vehicle movement sfx,,,,,,,,,,,,,,,,
mix_contingency_global,vehicle_avm_npc,1,0.05,0.05,# Audio Vehicle Manager npc vehicle movement sfx,,,,,,,,,,,,,,,,
mix_contingency_global,vehicle_avm_plr,1,0.05,0.05,# Audio Vehicle Manager plr vehicle movement sfx,,,,,,,,,,,,,,,,
mix_contingency_global,vehicle_npc,1,0.05,0.05,# npc vehicle movement sfx,,,,,,,,,,,,,,,,
mix_contingency_global,vehicle_plr,1,0.05,0.05,# plr vehicle movement sfx,,,,,,,,,,,,,,,,
mix_contingency_global,voices_ally,1,0.05,0.05,# battlechatter allied/friendly,,,,,,,,,,,,,,,,
mix_contingency_global,voices_dialog,1,0.05,0.05,# mission based speech,,,,,,,,,,,,,,,,
mix_contingency_global,voices_dialog_critical,1,0.05,0.05,# mission based speech at FULL Volume (DO NO CHANGE),,,,,,,,,,,,,,,,
mix_contingency_global,voices_dialog_radio,1,0.05,0.05,# mission based radio speech,,,,,,,,,,,,,,,,
mix_contingency_global,voices_enemy,1,0.05,0.05,# battlechatter axis/enemy,,,,,,,,,,,,,,,,
mix_contingency_global,wpn_foley_plr,1,0.05,0.05,# Player reload sfx,,,,,,,,,,,,,,,,
mix_contingency_global,wpn_plr_tail,1,0.05,0.05,# Player weapon tail ext.,,,,,,,,,,,,,,,,
mix_contingency_global,wpn_plr_tail_int_med,1,0.05,0.05,# Player weapon tail int_med.,,,,,,,,,,,,,,,,
mix_contingency_global,wpn_plr_tail_int_sml,1,0.05,0.05,# Player weapon tail int_sml.,,,,,,,,,,,,,,,,
mix_contingency_global,wpn_plr_tail_semi,1,0.05,0.05,# Player weapon tail semi_open.,,,,,,,,,,,,,,,,
mix_contingency_global,h2_wpn_npc_shot_close,1,0.05,0.05,# NPC controlled weapons,,,,,,,,,,,,,,,,
mix_contingency_global,h2_wpn_npc_shot_mid,1,0.05,0.05,# NPC weapon distant layer.,,,,,,,,,,,,,,,,
mix_contingency_global,h2_wpn_npc_shot_far,1,0.05,0.05,# NPC weapon mech layer.,,,,,,,,,,,,,,,,
mix_contingency_global,h2_wpn_npc_shot_tail,1.3,0.05,0.05,# NPC weapon shot layer.,,,,,,,,,,,,,,,,
