zone_names,comments,streamed_ambience,dynamic_ambience,mix,reverb,filter,occlusion,context,,,,,,,,,,,,,
exterior,,ambient_scoutsniper_ext0,exterior0,exterior_mix,exterior,none,med_occlusion,,,,,,,,,,,,,,
interior_wood,,ambient_scoutsniper_int_small,none,interior_wood_mix,interior_wood,none,med_occlusion,wpn_int_med,,,,,,,,,,,,,
container,,ambient_scoutsniper_ext0,none,interior_container_mix,container,container_filter,med_occlusion,wpn_int_med,,,,,,,,,,,,,
hall,,none,none,interior_stone_mix,hall,none,med_occlusion,wpn_int_med,,,,,,,,,,,,,
corridor,,ambient_scoutsniper_ext0,none,interior_stone_mix,corridor,corridor_filter,med_occlusion,wpn_int_med,,,,,,,,,,,,,
interior_stone,,none,none,interior_stone_mix,interior_stone,none,med_occlusion,wpn_int_med,,,,,,,,,,,,,
damaged_house,,ambient_scoutsniper_ext0,none,interior_stone_semi_open_mix,damaged_house,damaged_house_filter,med_occlusion,wpn_int_med,,,,,,,,,,,,,
church,,ambient_scoutsniper_int_small,none,interior_wood_mix,church,none,med_occlusion,wpn_int_med,,,,,,,,,,,,,
bell_tower,,ambient_scoutsniper_int_small,none,interior_stone_semi_open_mix,bell_tower,bell_tower_filter,med_occlusion,wpn_int_med,,,,,,,,,,,,,
balcony,,ambient_scoutsniper_ext0,exterior0,balcony_open_area_mix,hall,none,med_occlusion,wpn_int_med,,,,,,,,,,,,,
reverb_names,comments,roomtype,drylevel,wetlevel,fadetime,,,,,,,,,,,,,,,,
exterior,,courtyard,1,0.5,0.5,,,,,,,,,,,,,,,,
interior_wood,,room_wood,1,1,0.5,,,,,,,,,,,,,,,,
container,,int_container,1,0.5,0.3,,,,,,,,,,,,,,,,
hall,,stairwell,1,0.8,0.3,,,,,,,,,,,,,,,,
corridor,,stairwell,1,0.8,0.3,,,,,,,,,,,,,,,,
interior_stone,,room_concrete,1,1,0.3,,,,,,,,,,,,,,,,
damaged_house,,room_wood,1,1,0.5,,,,,,,,,,,,,,,,
church,,hall_wood,1,0.8,0.5,,,,,,,,,,,,,,,,
bell_tower,,hall_wood,1,0.8,0.5,,,,,,,,,,,,,,,,
filter_names,dsp_bus_name,type,freq,gain,q,,,,,,,,,,,,,,,,
container_filter,ambience,highshelf,2000,-6,1,,,,,,,,,,,,,,,,
bell_tower_filter,ambience,highshelf,5000,-3,1,,,,,,,,,,,,,,,,
damaged_house_filter,ambience,highshelf,2000,-3,1,,,,,,,,,,,,,,,,
corridor_filter,ambience,highshelf,2000,-6,1,,,,,,,,,,,,,,,,
occlusion_names,dsp_bus_name,freq,type,gain,q,,,,,,,,,,,,,,,,
timescale_names,dsp_bus_name,scalefactor,,,,,,,,,,,,,,,,,,,
dynamic_ambience_names,comments,components,first_event_min,first_event_max,event_time_min,event_time_max,xxxx,,,,,,,,,,,,,,
exterior0,,elm_wind_leafy,,,,,,,,,,,,,,,,,,,
components,comment,oneshots,loops,single_loops,first_event_min,first_event_max,event_time_min,event_time_max,dist_min,dist_max,cone_min,cone_max,travel_min,travel_max,travel_time_min,travel_time_max,pitch_min,pitch_max,pitch_time_min,pitch_time_max,xxxx
