zone_names,comments,streamed_ambience,dynamic_ambience,mix,reverb,filter,occlusion,context,,,,,,,,,,,,,
exterior,,ambient_boneyard_ext0,exterior,exterior_mix,exterior,none,exterior_occlusion,,,,,,,,,,,,,,
exterior2,,ambient_boneyard_ext0,exterior,exterior2_mix,exterior,none,exterior_occlusion,,,,,,,,,,,,,,
interior_plane,,ambient_boneyard_ext0,exterior,interior_plane_mix,interior_plane,none,interior_occlusion,wpn_int_sml,,,,,,,,,,,,,
reverb_names,comments,roomtype,drylevel,wetlevel,fadetime,,,,,,,,,,,,,,,,
exterior,,boneyard_exterior,1,0.1,1,,,,,,,,,,,,,,,,
interior_plane,,boneyard_interior_plane,0.9,1,1,,,,,,,,,,,,,,,,
filter_names,dsp_bus_name,type,freq,gain,vol,q,,,,,,,,,,,,,,,
interior_plane_filter,ambiance_quad,highshelf,3000,-2,-3,1,,,,,,,,,,,,,,,
interior_plane_filter,emitters_ext,highshelf,3000,-2,-3,1,,,,,,,,,,,,,,,
interior_plane_filter,vehicles_land,highshelf,3000,-2,-3,1,,,,,,,,,,,,,,,
interior_plane_filter,vehicles_air,highshelf,3000,-2,-3,1,,,,,,,,,,,,,,,
interior_plane_filter,weapons_npc,highshelf,3000,-2,-3,1,,,,,,,,,,,,,,,
interior_plane_filter,weapons_npc_dist,highshelf,3000,-2,-3,1,,,,,,,,,,,,,,,
occlusion_names,dsp_bus_name,freq,type,gain,vol,q,,,,,,,,,,,,,,,
timescale_names,dsp_bus_name,scalefactor,,,,,,,,,,,,,,,,,,,
dynamic_ambience_names,comments,components,first_event_min,first_event_max,event_time_min,event_time_max,xxxx,,,,,,,,,,,,,,
exterior,,elm_wind_leafy + elm_insect_fly + elm_dog + elm_stress + elm_jet_flyover_dist,,,,,,,,,,,,,,,,,,,
components,comment,oneshots,loops,single_loops,first_event_min,first_event_max,event_time_min,event_time_max,dist_min,dist_max,cone_min,cone_max,travel_min,travel_max,travel_time_min,travel_time_max,pitch_min,pitch_max,pitch_time_min,pitch_time_max,xxxx
elm_wind_leafy,,elm_wind_leafy,,,4,10,7,20,100,800,,,,,,,,,,,
elm_insect_fly,,elm_insect_fly,,,2,8,7,15,100,800,,,,,,,,,,,
elm_dog,,elm_dog,,,4,10,7,20,100,1000,,,,,,,,,,,
elm_stress,,elm_stress,,,2,6,7,12,100,800,,,,,,,,,,,
elm_jet_flyover_dist,,elm_jet_flyover_dist,,,6,14,10,24,250,1200,,,,,,,,,,,
loop_defs,comments,loop_alias,fade_in,fade_out,end_alias,duration_min,duration_max,xxxx,,,,,,,,,,,,,
whizby_preset_names,comments,near_radius,medium_radius,far_radius,radius_offset,near_spread,medium_spread,far_spread,near_prob,medium_prob,far_prob,,,,,,,,,,
mix_names,volmod,value,fadein,fadeout,,,,,,,,,,,,,,,,,
mix_boneyard_global,amb_damb,0.75,0.05,0.05,,,,,,,,,,,,,,,,,
mix_boneyard_global,amb_emitter,0.75,0.05,0.05,,,,,,,,,,,,,,,,,
mix_boneyard_global,amb_emitter_ext,0.75,0.05,0.05,,,,,,,,,,,,,,,,,
mix_boneyard_global,amb_emitter_int,0.75,0.05,0.05,,,,,,,,,,,,,,,,,
mix_boneyard_global,amb_quad,0.75,0.05,0.05,,,,,,,,,,,,,,,,,
mix_boneyard_global,attack_dog,1,0.05,0.05,,,,,,,,,,,,,,,,,
mix_boneyard_global,big_moment,1,0.05,0.05,,,,,,,,,,,,,,,,,
mix_boneyard_global,bullet_impact_geo,0.75,0.05,0.05,,,,,,,,,,,,,,,,,
mix_boneyard_global,bullet_impact_geo_metal,2,0.05,0.05,,,,,,,,,,,,,,,,,
mix_boneyard_global,bullet_whizby,1,0.05,0.05,,,,,,,,,,,,,,,,,
mix_boneyard_global,destruct,1,0.05,0.05,,,,,,,,,,,,,,,,,
mix_boneyard_global,explosion,1,0.05,0.05,,,,,,,,,,,,,,,,,
mix_boneyard_global,explosion_car,2,0.05,0.05,,,,,,,,,,,,,,,,,
mix_boneyard_global,explosion_critical,2,0.05,0.05,,,,,,,,,,,,,,,,,
mix_boneyard_global,explosion_debris,1,0.05,0.05,,,,,,,,,,,,,,,,,
mix_boneyard_global,explosion_flashbang,1,0.05,0.05,,,,,,,,,,,,,,,,,
mix_boneyard_global,explosion_grenade,1,0.05,0.05,,,,,,,,,,,,,,,,,
mix_boneyard_global,explosion_rocket,1,0.05,0.05,,,,,,,,,,,,,,,,,
mix_boneyard_global,music,1.3,0.05,0.05,,,,,,,,,,,,,,,,,
mix_boneyard_global,physics,1.5,0.05,0.05,,,,,,,,,,,,,,,,,
mix_boneyard_global,footstep_plr,1.2,0.05,0.05,,,,,,,,,,,,,,,,,
mix_boneyard_global,scripted1,4,0.05,0.05,//  scn1: scn_bone_front_suburban / scn_bone_intro_littlebird_lp / scn_bone_scene_a_suburban / scn_bone_littlebird_sweet1,,,,,,,,,,,,,,,,
mix_boneyard_global,scripted2,1,0.05,0.05,// scn2 : ac130_flyby / flare_burst / scn_bone_afterslide_turret_suburban / scn_bone_afterslide_suburban / scn_bone_road_laatpv / scn_bone_road_pickup / scn_bone_road_littlebird,,,,,,,,,,,,,,,,
mix_boneyard_global,scripted3,1,0.05,0.05,// scn3 : scn_boneyard_wing_explosion,,,,,,,,,,,,,,,,
mix_boneyard_global,scripted4,1,0.05,0.05,,,,,,,,,,,,,,,,,
mix_boneyard_global,scripted5,1,0.05,0.05,// scn5 : bone_headshot / hits_ramp / cones /,,,,,,,,,,,,,,,,
mix_boneyard_global,scripted6,1,0.05,0.05,,,,,,,,,,,,,,,,,
mix_boneyard_global,scripted7,3,0.05,0.05,// scn_bone_tbone_truck,,,,,,,,,,,,,,,,
mix_boneyard_global,scripted8,2,0.05,0.05,// scn_plr_boneyard_uaz_mount,,,,,,,,,,,,,,,,
mix_boneyard_global,scripted9,1,0.05,0.05,,,,,,,,,,,,,,,,,
mix_boneyard_global,scripted10,1,0.05,0.05,// plr uaz reverse,,,,,,,,,,,,,,,,
mix_boneyard_global,scripted11,1,0.05,0.05,,,,,,,,,,,,,,,,,
mix_boneyard_global,scripted12,1,0.05,0.05,,,,,,,,,,,,,,,,,
