zone_names,comments,streamed_ambience,dynamic_ambience,mix,reverb,filter,occlusion,context,,,,,,,,,,,,,
exterior_street,,ambient_favela_ext0,none,exterior_street_mix,exterior,none,exterior_occlusion,,,,,,,,,,,,,,
exterior_alley,,ambient_favela_alley,none,exterior_alley_mix,alley,alley_filter,exterior_occlusion,wpn_semi_open,,,,,,,,,,,,,
exterior_shanty,,ambient_favela_ext0,none,exterior_shanty_mix,shanty,none,exterior_occlusion,wpn_semi_open,,,,,,,,,,,,,
exterior_soccer,,ambient_favela_ext0,none,exterior_soccer_mix,shanty,none,exterior_occlusion,wpn_semi_open,,,,,,,,,,,,,
interior_stone,,ambient_favela_int,none,interior_stone_mix,interior_stone,interior_stone_filter,interior_occlusion,wpn_int_sml,,,,,,,,,,,,,
interior_stone_small,,ambient_favela_int,none,interior_stone_small_mix,interior_stone,interior_stone_filter,interior_occlusion,wpn_int_sml,,,,,,,,,,,,,
interior_stone_basement,,ambient_favela_int,none,interior_stone_basement_mix,interior_stone,interior_stone_filter,interior_occlusion,wpn_int_sml,,,,,,,,,,,,,
interior_vehicle,,none,none,interior_vehicle_mix,interior_vehicle,veh_int_filter,interior_occlusion,interior_vehicle,,,,,,,,,,,,,
interior_vehicle_open,,none,none,interior_vehicle_open_mix,interior_vehicle,veh_int_open_filter,interior_occlusion,interior_vehicle,,,,,,,,,,,,,
exterior_hill,,ambient_favela_ext0,none,exterior_hill_mix,shanty,alley_filter,exterior_occlusion,wpn_semi_open,,,,,,,,,,,,,
reverb_names,comments,roomtype,drylevel,wetlevel,fadetime,,,,,,,,,,,,,,,,
exterior,,favela_exterior,1,0.8,2,,,,,,,,,,,,,,,,
alley,,favela_alley,1,1,2,,,,,,,,,,,,,,,,
shanty,,favela_shanty,1,1,2,,,,,,,,,,,,,,,,
interior_stone,,favela_interior_stone,1,1,0.5,,,,,,,,,,,,,,,,
interior_vehicle,,favela_interior_vehicle,1,1,1.5,,,,,,,,,,,,,,,,
filter_names,dsp_bus_name,type,freq,gain,vol,q,,,,,,,,,,,,,,,
veh_int_filter,set_all,highshelf,2100,-17,0,1,,,,,,,,,,,,,,,
veh_int_filter,unoccluded,highshelf,20000,0,0,1,,,,,,,,,,,,,,,
veh_int_filter,music,highshelf,20000,0,0,1,,,,,,,,,,,,,,,
veh_int_filter,interface,highshelf,20000,0,0,1,,,,,,,,,,,,,,,
veh_int_filter,voices_critical,highshelf,20000,0,0,1,,,,,,,,,,,,,,,
veh_int_filter,voices_unfiltered,lowpass,20000,0,0,1,,,,,,,,,,,,,,,
alley_filter,weapons_plr,bell,500,3,0,1,,,,,,,,,,,,,,,
veh_int_open_filter,set_all,highshelf,2100,-10,0,1,,,,,,,,,,,,,,,
veh_int_open_filter,unoccluded,highshelf,20000,0,0,1,,,,,,,,,,,,,,,
veh_int_open_filter,music,highshelf,20000,0,0,1,,,,,,,,,,,,,,,
veh_int_open_filter,interface,highshelf,20000,0,0,1,,,,,,,,,,,,,,,
veh_int_open_filter,scripted1,highshelf,8000,-6,0,1,,,,,,,,,,,,,,,
veh_int_open_filter,weapons_npc,highshelf,20000,0,0,1,,,,,,,,,,,,,,,
veh_int_open_filter,whizbys,highshelf,20000,0,0,1,,,,,,,,,,,,,,,
veh_int_open_filter,voices_critical,highshelf,3000,-6,0,1,,,,,,,,,,,,,,,
veh_int_open_filter,voices_unfiltered,lowpass,20000,0,0,1,,,,,,,,,,,,,,,
interior_stone_filter,scripted2,highshelf,1000,0,0,1,emt distant gun fight,,,,,,,,,,,,,,
interior_stone_filter,explosions,highshelf,6000,-10,0,1,,,,,,,,,,,,,,,
interior_stone_filter,music,highshelf,6000,-6,0,1,,,,,,,,,,,,,,,
interior_stone_filter,weapons_plr,bell,500,3,0,1,,,,,,,,,,,,,,,
occlusion_names,dsp_bus_name,freq,type,gain,vol,q,,,,,,,,,,,,,,,
timescale_names,dsp_bus_name,scalefactor,,,,,,,,,,,,,,,,,,,
favela_timescale_factor,music,0,,,,,,,,,,,,,,,,,,,
favela_timescale_factor,voices_critical,0,,,,,,,,,,,,,,,,,,,
favela_timescale_factor,scripted1,0,,,,,,,,,,,,,,,,,,,
favela_timescale_factor,ambiance_quad,0,,,,,,,,,,,,,,,,,,,
dynamic_ambience_names,comments,components,first_event_min,first_event_max,event_time_min,event_time_max,xxxx,,,,,,,,,,,,,,
exterior,,elm_insect_fly + elm_jet_flyover_dist,,,,,,,,,,,,,,,,,,,
components,comment,oneshots,loops,single_loops,first_event_min,first_event_max,event_time_min,event_time_max,dist_min,dist_max,cone_min,cone_max,travel_min,travel_max,travel_time_min,travel_time_max,pitch_min,pitch_max,pitch_time_min,pitch_time_max,xxxx
elm_insect_fly,,elm_insect_fly,,,8,15,8,18,30,350,,,,,,,,,,,
elm_jet_flyover_dist,,elm_jet_flyover_dist,,,8,20,18,24,400,1000,,,,,,,,,,,
loop_defs,comments,loop_alias,fade_in,fade_out,end_alias,duration_min,duration_max,xxxx,,,,,,,,,,,,,
whizby_preset_names,comments,near_radius,medium_radius,far_radius,radius_offset,near_spread,medium_spread,far_spread,near_prob,medium_prob,far_prob,,,,,,,,,,
mix_names,volmod,value,fadein,fadeout,,,,,,,,,,,,,,,,,
mix_favela_global,amb_damb,1,0.05,0.05,# ambient element sfx,,,,,,,,,,,,,,,,
mix_favela_global,amb_emitter,1.25,0.5,0.5,,,,,,,,,,,,,,,,,
mix_favela_global,amb_emitter_ext,1.25,0.5,0.5,,,,,,,,,,,,,,,,,
mix_favela_global,amb_emitter_int,1,0.5,0.5,,,,,,,,,,,,,,,,,
mix_favela_global,amb_quad,1.2,0.5,0.5,,,,,,,,,,,,,,,,,
mix_favela_global,attack_dog,3,0.05,0.05,,,,,,,,,,,,,,,,,
mix_favela_global,big_moment,1,0.05,0.05,,,,,,,,,,,,,,,,,
mix_favela_global,bullet_impact_geo,1,0.05,0.05,,,,,,,,,,,,,,,,,
mix_favela_global,bullet_impact_geo_metal,1,0.05,0.05,,,,,,,,,,,,,,,,,
mix_favela_global,bullet_whizby,1,0.05,0.05,,,,,,,,,,,,,,,,,
mix_favela_global,destruct,1,0.05,0.05,,,,,,,,,,,,,,,,,
