zone_names,comments,streamed_ambience,dynamic_ambience,mix,reverb,filter,occlusion,context,,,,,,,,,,,,,
exterior,,ambient_trainer_ext2,none,exterior_mix,exterior,none,exterior_occlusion,,,,,,,,,,,,,,
exterior_pit,,ambient_trainer_ext2,none,exterior_pit_mix,exterior_pit,none,exterior_occlusion,wpn_int_med,,,,,,,,,,,,,
interior_stone_open,,ambient_trainer_ext2,none,interior_stone_open_mix,interior_stone,none,interior_occlusion,wpn_int_med,,,,,,,,,,,,,
interior_stone,,ambient_trainer_ext2,none,interior_stone_mix,interior_stone,interior_filter,interior_occlusion,wpn_int_sml,,,,,,,,,,,,,
interior_wood,,ambient_trainer_ext2,none,interior_wood_mix,interior_wood,interior_filter,interior_occlusion,wpn_int_sml,,,,,,,,,,,,,
interior_stone_pit,,none,none,interior_stone_pit_mix,interior_stone,interior_filter,interior_occlusion,wpn_int_sml,,,,,,,,,,,,,
entrance_pit,,ambient_trainer_ext2,none,entrance_pit_mix,exterior_pit,none,exterior_occlusion,semi_open,,,,,,,,,,,,,
reverb_names,comments,roomtype,drylevel,wetlevel,fadetime,,,,,,,,,,,,,,,,
exterior,,trainer_exterior,1,0.3,0.5,,,,,,,,,,,,,,,,
exterior_pit,,trainer_exterior,1,0.2,0.5,,,,,,,,,,,,,,,,
interior_stone,,trainer_interior_stone,1,1,0.5,,,,,,,,,,,,,,,,
interior_wood,,trainer_interior_wood,1,1,0.5,,,,,,,,,,,,,,,,
filter_names,dsp_bus_name,type,freq,gain,vol,q,,,,,,,,,,,,,,,
interior_filter,ambiance_quad,highshelf,1000,-6,0,1,,,,,,,,,,,,,,,
interior_filter,vehicles_air,highshelf,1000,-6,0,1,,,,,,,,,,,,,,,
interior_filter,voices,highshelf,1000,-6,0,1,,,,,,,,,,,,,,,
occlusion_names,dsp_bus_name,freq,type,gain,vol,q,,,,,,,,,,,,,,,
timescale_names,dsp_bus_name,scalefactor,,,,,,,,,,,,,,,,,,,
dynamic_ambience_names,comments,components,first_event_min,first_event_max,event_time_min,event_time_max,xxxx,,,,,,,,,,,,,,
exterior_01,,elm_windgust1+elm_windgust2+elm_windgust3+elm_windgust4+elm_insect_fly+elm_explosions_dist+elm_explosions_med+elm_jet_flyover_med+elm_jet_flyover_dist,,,,,,,,,,,,,,,,,,,
