zone_names,comments,streamed_ambience,dynamic_ambience,mix,reverb,filter,occlusion,context,,,,,,,,,,,,,
armory,,ambient_gulag_hall_int0,none,armory_mix,interior_large,none,interior_only_occlusion,wpn_int_sml,,,,,,,,,,,,,
control_room,,ambient_gulag_hall_int0,none,control_room_mix,control_room,control_room_filter,gulag_controlroom_occlusion,wpn_int_sml,,,,,,,,,,,,,
control_room_silo,,ambient_gulag_hall_int0,none,control_room_silo_mix,interior_silo,none,interior_only_occlusion,wpn_int_med,,,,,,,,,,,,,
evac_event_room,,none,none,evac_event_room_mix,evac_event_room,none,interior_only_occlusion,wpn_int_med,,,,,,,,,,,,,
exterior,,ambient_gulag_ext0,none,exterior_mix,exterior,none,exterior_occlusion,,,,,,,,,,,,,,
exterior_closed,,ambient_gulag_ext0,none,exterior_closed_mix,exterior_small,none,exterior_occlusion,wpn_semi_open,,,,,,,,,,,,,
helicopter,,none,none,helicopter_mix,none,none,no_occlusion,wpn_semi_open,,,,,,,,,,,,,
interior_large,,ambient_gulag_hall_int0,none,interior_large_mix,interior_large,none,interior_only_occlusion,wpn_int_med,,,,,,,,,,,,,
interior_pre_staircase,,ambient_gulag_hall_int0,none,interior_pre_staircase_mix,staircase,none,interior_only_occlusion,wpn_int_sml,,,,,,,,,,,,,
interior_sewer,,ambient_gulag_tunnel_sewer,none,interior_sewer_mix,interior_sewer,interior_sewer,interior_only_occlusion,wpn_int_sml,,,,,,,,,,,,,
interior_shower,,ambient_gulag_shower_int0,none,interior_shower_mix,interior_shower_large,none,interior_only_occlusion,wpn_int_med,,,,,,,,,,,,,
interior_stone,,ambient_gulag_hall_int0,none,interior_stone_mix,interior_stone,none,interior_only_occlusion,wpn_int_sml,,,,,,,,,,,,,
interior_stone_open,,ambient_gulag_ext0,none,interior_stone_open_mix,interior_stone_open,none,interior_occlusion,wpn_int_med,,,,,,,,,,,,,
interior_tunnel,,ambient_gulag_tunnel_int,none,interior_tunnel_mix,interior_tunnel,none,interior_only_occlusion,wpn_int_sml,,,,,,,,,,,,,
