zone_names,comments,streamed_ambience,dynamic_ambience,mix,reverb,filter,occlusion,context,,,,,,,,,,,,,
exterior_cliff,,ambient_cliffhanger_ext0,none,exterior_cliff_mix,mountain,none,exterior_occlusion,,,,,,,,,,,,,,
exterior_clifftop,,ambient_cliffhanger_ext0,exterior,exterior_clifftop_mix,mountain,none,exterior_occlusion,,,,,,,,,,,,,,
exterior_camp,,ambient_cliffhanger_ext0,exterior,exterior_camp_mix,close_buildings,none,exterior_occlusion,,,,,,,,,,,,,,
exterior_metal_roof,,ambient_cliffhanger_ext0,exterior,exterior_metal_roof_mix,exterior_roof,exterior_covered_area_filter,interior_occlusion,,,,,,,,,,,,,,
interior_metal,,none,none,interior_metal_mix,interior_metal,interior_filter,exterior_occlusion,wpn_int_sml,,,,,,,,,,,,,
interior_container,,ambient_cliffhanger_ext0,exterior,interior_container_mix,container,interior_filter,interior_occlusion,wpn_int_sml,,,,,,,,,,,,,
interior_plastic,,none,none,interior_plastic_mix,interior_plastic,interior_filter,interior_occlusion,wpn_int_sml,,,,,,,,,,,,,
interior_wood,,ambient_cliffhanger_ext0,exterior,interior_wood_mix,interior_wood,interior_filter,interior_occlusion,wpn_int_sml,,,,,,,,,,,,,
hanger,,none,none,hanger_mix,hangar,interior_filter,interior_occlusion,wpn_int_med,,,,,,,,,,,,,
between_hangar,,ambient_cliffhanger_ext0,exterior,between_hangar_mix,close_buildings,none,exterior_occlusion,wpn_semi_open,,,,,,,,,,,,,
office,,none,none,office_mix,interior_stone,interior_filter,interior_occlusion,wpn_int_sml,,,,,,,,,,,,,
exterior_mountain,,ambient_cliffhanger_ext0,exterior,exterior_mountain_mix,mountain,none,exterior_occlusion,,,,,,,,,,,,,,
reverb_names,comments,roomtype,drylevel,wetlevel,fadetime,,,,,,,,,,,,,,,,
mountain,,cliffhanger_mountain,1,0.1,0.5,,,,,,,,,,,,,,,,
close_buildings,,cliffhanger_close_buildings,1,0.4,0.5,,,,,,,,,,,,,,,,
